Serial_no,Country,Latitude,Longitude
1,Afghanistan,33.93911,67.709953
2,Albania,41.1533,20.1683
3,Algeria,28.0339,1.6596
4,American Samoa,-14.270972,-170.132217
5,Andorra,42.5063,1.5218
6,Angola,-11.2027,17.8739
7,Anguilla,18.220554,-63.068615
8,Antigua and Barbuda,17.060816,-61.796428
9,Argentina,-38.4161,-63.6167
10,Armenia,40.0691,45.0382
11,Aruba,12.52111,-69.968338
12,Australia,-25.274398,133.775136
13,Austria,47.5162,14.5501
14,Azerbaijan,40.1431,47.5769
15,Bahamas,25.03428,-77.39628
16,Bahrain,26.0667,50.5577
17,Bangladesh,23.685,90.3563
18,Barbados,13.1939,-59.5432
19,Belarus,53.7098,27.9534
20,Belgium,50.5039,4.4699
21,Belize,17.1899,-88.4976
22,Benin,9.3077,2.3158
23,Bermuda,32.321384,-64.75737
24,Bhutan,27.514162,90.433601
25,Bolivia,-16.2902,-63.5887
26,"Bonaire, Sint Eustatius and Saba",12.1784,-68.2385
27,Bosnia and Herzegovina,43.9159,17.6791
28,Botswana,-22.3285,24.6849
29,Brazil,-14.235,-51.9253
30,British Virgin Islands,18.420695,-64.639968
31,Brunei,4.5353,114.7277
32,Bulgaria,42.7339,25.4858
33,Burkina Faso,12.2383,-1.5616
34,Burundi,-3.3731,29.9189
35,Cambodia,11.55,104.9167
36,Cameroon,3.848,11.5021
37,Canada,56.1304,-106.3468
38,Cape Verde,16.5388,-23.0418
39,Cayman Islands,19.3133,-81.2546
40,Central African Republic,6.6111,20.9394
41,Chad,15.4542,18.7322
42,Chile,-35.6751,-71.5429
43,China,35.8617,104.1954
44,Colombia,4.5709,-74.2973
45,Comoros,-11.6455,43.3333
46,Congo,-0.228,15.8277
47,Cook Islands,-21.2367,-159.7777
48,Costa Rica,9.7489,-83.7534
49,Cote d'Ivoire,7.539989,-5.54708
50,Croatia,45.1,15.2
51,Cuba,21.521757,-77.781167
52,Curacao,12.1696,-68.99
53,Cyprus,35.1264,33.4299
54,Czechia,49.8175,15.473
55,Democratic Republic of Congo,-4.0383,21.7587
56,Denmark,56.2639,9.5018
57,Djibouti,11.8251,42.5903
58,Dominica,15.415,-61.371
59,Dominican Republic,18.7357,-70.1627
60,Ecuador,-1.8312,-78.1834
61,Egypt,26.8206,30.8025
62,El Salvador,13.7942,-88.8965
63,Equatorial Guinea,1.6508,10.2679
64,Eritrea,15.1794,39.7823
65,Estonia,58.5953,25.0136
66,Eswatini,-26.5225,31.4659
67,Ethiopia,9.145,40.4897
68,Falkland Islands,-51.7963,-59.5236
69,Fiji,-17.7134,178.065
70,Finland,61.9241,25.748151
71,France,46.2276,2.2137
72,French Guiana,3.9339,-53.1258
73,French Polynesia,-17.6797,-149.4068
74,Gabon,-0.8037,11.6094
75,Gambia,13.4432,-15.3101
76,Georgia,42.3154,43.3569
77,Germany,51.1657,10.4515
78,Ghana,7.9465,-1.0232
79,Gibraltar,36.1408,-5.3536
80,Greece,39.0742,21.8243
81,Greenland,71.7069,-42.6043
82,Grenada,12.1165,-61.679
83,Guadeloupe,16.265,-61.551
84,Guam,13.4443,144.7937
85,Guatemala,15.7835,-90.2308
86,Guinea,9.9456,-9.6966
87,Guinea-Bissau,11.8037,-15.1804
88,Guyana,4.8604,-58.9302
89,Haiti,18.9712,-72.2852
90,Honduras,15.2,-86.2419
91,Hong Kong,22.3193,114.1694
92,Hungary,47.1625,19.5033
93,Iceland,64.9631,-19.0208
94,India,20.5937,78.9629
95,Indonesia,-0.7893,113.9213
96,Iran,32.4279,53.688
97,Iraq,33.2232,43.6793
98,Ireland,53.1424,-7.6921
99,Isle of Man,54.2361,-4.5481
100,Israel,31.0461,34.8516
101,Italy,41.8719,12.5674
102,Jamaica,18.1096,-77.2975
103,Japan,36.2048,138.2529
104,Jordan,30.5852,36.2384
105,Kazakhstan,48.0196,66.9237
106,Kenya,-0.0236,37.9062
107,Kiribati,-3.3704,-168.734
108,Kuwait,29.3759,47.9774
109,Kyrgyzstan,41.2044,74.7661
110,Laos,19.8563,102.4955
111,Latvia,56.8796,24.6032
112,Lebanon,33.8547,35.8623
113,Lesotho,-29.6099,28.2336
114,Liberia,6.4281,-9.4295
115,Libya,26.3351,17.2283
116,Liechtenstein,47.166,9.5554
117,Lithuania,55.1694,23.8813
118,Luxembourg,49.8153,6.1296
119,Macao,22.1987,113.5439
120,Madagascar,-18.7669,46.8691
121,Malawi,-13.2543,34.3015
122,Malaysia,4.2105,101.9758
123,Maldives,3.2028,73.2207
124,Mali,17.5707,-3.9962
125,Malta,35.9375,14.3754
126,Marshall Islands,7.1315,171.1845
127,Martinique,14.6415,-61.0242
128,Mauritania,21.0079,-10.9408
129,Mauritius,-20.3484,57.5522
130,Mayotte,-12.8275,45.1662
131,Mexico,23.6345,-102.5528
132,Micronesia (country),7.4256,150.5508
133,Moldova,47.4116,28.3699
134,Monaco,43.7384,7.4246
135,Mongolia,46.8625,103.8467
136,Montenegro,42.7087,19.3744
137,Montserrat,16.7425,-62.1874
138,Morocco,31.7917,-7.0926
139,Mozambique,-18.6657,35.5296
140,Myanmar,21.9162,95.956
141,Namibia,-22.9576,18.4904
142,Nauru,-0.5228,166.9315
143,Nepal,28.3949,84.124
144,Netherlands,52.1326,5.2913
145,New Caledonia,-20.9043,165.618
146,New Zealand,-40.9006,174.886
147,Nicaragua,12.8654,-85.2072
148,Niger,17.6078,8.0817
149,Nigeria,9.082,8.6753
150,Niue,-19.0544,-169.8672
151,North Korea,40.3399,127.5101
152,North Macedonia,41.6086,21.7453
153,Northern Mariana Islands,17.3308,145.3847
154,Norway,60.472,8.4689
155,Oman,21.4735,55.9754
156,Pakistan,30.3753,69.3451
157,Palau,7.515,134.5825
158,Palestine,31.9522,35.2332
159,Panama,8.538,-80.7821
160,Papua New Guinea,-6.315,143.9555
161,Paraguay,-23.4425,-58.4438
162,Peru,-9.19,-75.0152
163,Philippines,12.8797,121.774
164,Poland,51.9194,19.1451
165,Portugal,39.3999,-8.2245
166,Puerto Rico,18.2208,-66.5901
167,Qatar,25.3548,51.1839
168,Reunion,-21.1151,55.5364
169,Romania,45.9432,24.9668
170,Russia,61.524,105.3188
171,Rwanda,-1.9403,29.8739
172,Saint Helena,-24.1435,-10.0307
173,Saint Kitts and Nevis,17.3578,-62.7829
174,Saint Lucia,13.9094,-60.9789
175,Saint Pierre and Miquelon,46.8852,-56.3159
176,Saint Vincent and the Grenadines,12.9843,-61.2872
177,Samoa,-13.759,-172.1046
178,San Marino,43.9424,12.4578
179,Sao Tome and Principe,0.1864,6.6131
180,Saudi Arabia,23.8859,45.0792
181,Senegal,14.4974,-14.4524
182,Serbia,44.0165,21.0059
183,Seychelles,-4.6796,55.492
184,Sierra Leone,8.4606,-11.7799
185,Singapore,1.3521,103.8198
186,Sint Maarten (Dutch part),18.0425,-63.0548
187,Slovakia,48.669,19.699
188,Slovenia,46.1512,14.9955
189,Solomon Islands,-9.6457,160.1562
190,Somalia,5.1521,46.1996
191,South Africa,-30.5595,22.9375
192,South Korea,35.9078,127.7669
193,South Sudan,6.8769,31.3069
194,Spain,40.4637,-3.7492
195,Sri Lanka,7.8731,80.7718
196,Sudan,12.8628,30.2176
197,Suriname,3.9193,-56.0278
198,Sweden,60.1282,18.6435
199,Switzerland,46.8182,8.2275
200,Syria,34.8021,38.9968
201,Tajikistan,38.861,71.2761
202,Tanzania,-6.369,34.8888
203,Thailand,15.87,100.9925
204,Togo,8.6195,0.8248
205,Tokelau,-8.9674,-171.8559
206,Tonga,-21.1787,-175.1982
207,Trinidad and Tobago,10.6918,-61.2225
208,Tunisia,33.8869,9.5375
209,Turkey,38.9637,35.2433
210,Turkmenistan,38.9697,59.5563
211,Turks and Caicos Islands,21.694,-71.7979
212,Tuvalu,-7.1095,177.6493
213,Uganda,1.3733,32.2903
214,Ukraine,48.3794,31.1656
215,United Arab Emirates,23.4241,53.8478
216,United Kingdom,55.3781,-3.436
217,United States,37.0902,-95.7129
218,United States Virgin Islands,18.3358,-64.8963
219,Uruguay,-32.5228,-55.7658
220,Uzbekistan,41.3775,64.5853
221,Vanuatu,-15.3767,166.9592
222,Vatican,41.9029,12.4534
223,Venezuela,6.4238,-66.5897
224,Vietnam,14.0583,108.2772
225,Wallis and Futuna,-13.7686,-177.1561
226,Western Sahara,24.2155,-12.8858
227,Yemen,15.5527,48.5164
228,Zambia,-13.1339,27.8493
229,Zimbabwe,-19.0154,29.1549
230,Caribbean,21.5218,-77.7812
231,Channel Islands,49.3723,-2.3644
232,Faeroe Islands,61.8926,-6.9118
233,Melanesia,-9.19,143.1544
234,Micronesia (region),7.4256,150.5508
235,Oceania,-13.759,-172.1046
236,Oceania (excluding Australia and New Zealand),-13.759,-172.1046
237,Polynesia,-17.6797,-149.4068
238,Timor-Leste,-8.8742,125.7275
