Country 1,Country 2,1990,2000,Absolute Change,Relative Change
Afghanistan,Afghanistan,"-7,679,582","-4,750,677","2,928,905",0.38
Afghanistan,Argentina,20,20,0,0
Afghanistan,Australia,"2,729","12,580","9,851",3.61
Afghanistan,Austria,"4,748","5,966","1,218",0.26
Afghanistan,Azerbaijan,254,224,-30,-12%
Afghanistan,Bahrain,215,258,43,0.2
Afghanistan,Belarus,140,292,152,1.09
Afghanistan,Belgium,93,60,-33,-35%
Afghanistan,Bolivia,2,0,-2,-100%
Afghanistan,Brazil,0,0,0,
Afghanistan,Bulgaria,222,223,1,0
Afghanistan,Canada,"5,321","22,359","17,038",3.2
Afghanistan,Costa Rica,25,3,-22,-88%
Afghanistan,Cyprus,2,4,2,1
Afghanistan,Czechia,51,103,52,1.02
Afghanistan,Denmark,354,"2,941","2,587",7.31
Afghanistan,Ecuador,18,23,5,0.28
Afghanistan,Egypt,237,154,-83,-35%
Afghanistan,Estonia,0,0,0,
Afghanistan,Finland,4,284,280,#ERROR!
Afghanistan,France,"3,346","3,563",217,0.06
Afghanistan,Georgia,0,42,42,
Afghanistan,Germany,"33,279","69,794","36,515",1.1
Afghanistan,Greece,621,331,-290,-47%
Afghanistan,Guinea,0,0,0,
Afghanistan,Hungary,274,532,258,0.94
Afghanistan,Iceland,1,1,0,0
Afghanistan,India,"14,159","12,794","-1,365",-10%
Afghanistan,Iran,"3,980,307","2,232,283","-1,748,024",-44%
Afghanistan,Iraq,241,269,28,0.12
Afghanistan,Ireland,29,173,144,4.97
Afghanistan,Israel,"2,724","2,790",66,0.02
Afghanistan,Italy,271,201,-70,-26%
Afghanistan,Jordan,74,76,2,0.03
Afghanistan,Kuwait,"1,334","1,219",-115,-9%
Afghanistan,Latvia,20,24,4,0.2
Afghanistan,Libya,677,236,-441,-65%
Afghanistan,Liechtenstein,0,0,0,
Afghanistan,Lithuania,40,35,-5,-13%
Afghanistan,Luxembourg,0,0,0,
Afghanistan,Malaysia,32,50,18,0.56
Afghanistan,Mali,0,0,0,
Afghanistan,Micronesia (country),0,0,0,
Afghanistan,Namibia,64,58,-6,-9%
Afghanistan,Netherlands,"9,865","19,683","9,818",1
Afghanistan,New Zealand,156,714,558,3.58
Afghanistan,Nicaragua,27,37,10,37%
Afghanistan,Norway,253,638,385,1.52
Afghanistan,Pakistan,"3,374,973","2,069,977","-1,304,996",-39%
Afghanistan,Philippines,25,781,756,#ERROR!
Afghanistan,Poland,219,160,-59,-27%
Afghanistan,Qatar,384,388,4,0.01
Afghanistan,Romania,0,0,0,
Afghanistan,Russia,"19,103","11,486","-7,617",-40%
Afghanistan,Saudi Arabia,"166,255","175,068","8,813",0.05
Afghanistan,Slovakia,26,315,289,#ERROR!
Afghanistan,Slovenia,1,0,-1,-100%
Afghanistan,South Africa,59,30,-29,-49%
Afghanistan,Spain,24,455,431,#ERROR!
Afghanistan,Sri Lanka,0,31,31,
Afghanistan,Sweden,"3,368","4,287",919,0.27
Afghanistan,Switzerland,"1,756","2,740",984,0.56
Afghanistan,Syria,0,172,172,
Afghanistan,Tajikistan,"8,485","17,118","8,633",1.02
Afghanistan,Thailand,0,20,20,
Afghanistan,Turkey,"7,652","9,020","1,368",0.18
Afghanistan,Turkmenistan,321,"1,784","1,463",4.56
Afghanistan,Ukraine,"2,552","2,416",-136,-5%
Afghanistan,United Arab Emirates,"1,630","2,668","1,038",0.64
Afghanistan,United Kingdom,"2,076","14,382","12,306",5.93
Afghanistan,United States,"28,444","46,342","17,898",0.63
Albania,Albania,"-180,204","-824,442","-644,238",-358%
