Country 1,Country 2,2005,2010,Absolute Change,Relative Change
Afghanistan,Afghanistan,"-4,116,739","-5,269,518","-1,152,779",-28%
Afghanistan,Argentina,16,9,-7,-44%
Afghanistan,Australia,"18,617","30,840","12,223",0.66
Afghanistan,Austria,"6,614","10,055","3,441",0.52
Afghanistan,Azerbaijan,213,195,-18,-8%
Afghanistan,Bahrain,392,392,0,0.56
Afghanistan,Belarus,281,270,-11,-4%
Afghanistan,Belgium,"2,479","4,242","1,763",0.71
Afghanistan,Bolivia,1,1,0,0
Afghanistan,Brazil,28,58,30,1.07
Afghanistan,Bulgaria,"2,320","2,450",130,0.06
Afghanistan,Canada,"30,718","40,945","10,227",0.33
Afghanistan,Costa Rica,3,5,2,0.67
Afghanistan,Cyprus,6,8,2,0.33
Afghanistan,Czechia,221,317,96,0.43
Afghanistan,Denmark,"6,609","9,817","3,208",0.49
Afghanistan,Ecuador,28,44,16,0.57
Afghanistan,Egypt,183,198,15,0.08
Afghanistan,Estonia,0,13,13,
Afghanistan,Finland,"1,604","2,342",738,0.46
Afghanistan,France,"3,409","4,470","1,061",0.31
Afghanistan,Georgia,39,39,0,0
Afghanistan,Germany,"75,824","80,248","4,424",0.06
Afghanistan,Greece,"3,401","6,704","3,303",0.97
Afghanistan,Guinea,0,0,0,
Afghanistan,Hungary,"2,385","1,821",-564,-24%
Afghanistan,Iceland,4,6,2,0.5
Afghanistan,India,"15,792","18,085","2,293",0.15
Afghanistan,Iran,"2,376,348","2,572,558","196,210",0.08
Afghanistan,Iraq,313,320,7,0.02
Afghanistan,Ireland,173,145,-28,-16%
Afghanistan,Israel,"2,610","2,462",-148,-6%
Afghanistan,Italy,"3,384","5,549","2,165",0.64
Afghanistan,Jordan,38,119,81,2.13
Afghanistan,Kuwait,"1,317","1,794",477,0.36
Afghanistan,Latvia,24,25,1,0.04
Afghanistan,Libya,260,285,25,0.1
Afghanistan,Liechtenstein,0,3,3,
Afghanistan,Lithuania,31,24,-7,-23%
